,auto,crime,culture,education
0,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong></em> – На Кольском проспекте в районе перекрёстка на улице Шевченко произошло дорожно-транспортное происшествие. Столкнулись «Лада» и ВАЗ.</p>
<p>По предварительной информации в одной из искорёженных машин заблокирована девушка-пассажир. Спасатели пытаются её достать из автомобиля. <br/>Кроме МЧС на месте работают сотрудники скорой помощи и ДПС.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МЕЖДУРЕЧЬЕ/ 22 января/ БИ-ПОРТ</strong></em> - Суд вынес приговор в отношении бывшего директора МУП «Лавна» в хищении чужого имущества, совершенное лицом с использованием своего служебного положения.</p>
<p>Следствием и судом установлено, что подсудимый, не приобретал необходимое оборудование теплоснабжения для установки в жилых домах поселка Междуречье и предоставил в бухгалтерию предприятия фиктивные документы для списания денежных средств, ранее выданных ему в сумме более 130 тысяч рублей.</p>
<p>Кроме того, зная, что работы по ремонту подъездов домов в Междуречье не будут выполнены, директор МУПа изготовил и подписал подложные документы, необходимые для оплаты работ. После этого директор нашёл лиц, которые не были трудоустроены, заключил с ними фиктивные договора по ремонтным работам и дал указание бухгалтерии предприятия о перечислении на расчетный счет общества денежные средства в сумме более 397 тысяч рублей. При этом более 123 тысяч рублей подсудимый похитил и использовал их по своему усмотрению</p>
<p>Приговором Кольского районного суда мужчине назначено наказание в виде штрафа в размере 120 тысяч рублей с лишением права занимать должности, связанные с руководством муниципальных унитарных предприятий в сфере ЖКХ, сроком на два года. Приговор в законную силу не вступил.</p>
<p><em>Фото: pixabay.com</em></p> </div>]","[<div class=""itemFullText"">
<p style=""text-align: center;""><em><strong><img alt=""15 2"" height=""708"" src=""/mediafiles/items/2019/01/223306/15_2.jpg"" width=""500""/><br/></strong></em></p>
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong></em> – В Мурманском областном Дворце культуры и народного творчества им С.М. Кирова состоится концерт народных танцев «В кругу друзей». Представление состоится в воскресенье, 20 января, в 15 часов.</p>
<p>На сцене Дворца выступит яркий коллектив со своими традициями – ансамбль «Сполохи». Участники коллектива представят зрителям как народные танцы, так и сюжетные и тематические постановки.</p>
<p>Собираться в конце января в Дворце культуры и народного творчества и дарить людям праздник народного танца уже стало традицией для «Сполохов».</p>
<p>Свои творческие номера представят участники ансамбля танца «Северок» из Мурманска, оленегорский коллектив «Калинка» и северморский хореографический ансамбль «Мастерок».</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong></em> - Мурманские школьники и студенты приняли участие в ежегодной всероссийской кампании по повышению пенсионной грамотности. За три месяца специалисты территориальных органов ПФР провели в общей сложности 88 уроков и лекций в 82 школах и средних специальных учебных заведениях, знакомя учащихся с порядком формирования будущей пенсии.</p>
<p>В рамках проведения кампании, ребята узнали, как сформировать достойную пенсию, почему нужно выбирать официальную «белую» зарплату, что такое страховые взносы и многое другое.</p>
<p>Помимо уроков 78 школьников и студентов посетили Управления и Отдел ПФР Мурманской области в рамках познавательных экскурсии, где молодые люди своими глазами увидели, как проходит работа в ПФР – назначается пенсия, оформляется страховое свидетельство.</p> </div>]"
1,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong></em> – В Мурманске произошло дорожно-транспортное происшествие с участием двух пешеходов. Водитель сбил людей на пешеходном переходе, сообщают в региональном ГИБДД.</p>
<p>Наезд произошёл 16 января в 14:45 в Мурманске в районе дома №37 на проспекте Кирова. Водитель автомобиля Renault, двигаясь со стороны улицы Зеленая в сторону проспекта Кольский, допустил наезд на двух 16-летних подростков, которые переходили проезжую часть по нерегулируемому пешеходному переходу.</p>
<p>В результате ДТП пострадавшие обслужены амбулаторно.</p>
<p><em>Фото: <a href=""https://vk.com/murmansk_dtp"" target=""_self"">Мурманск ДТП ЧП</a></em></p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 22 января/ БИ-ПОРТ</strong> </em>— До пяти лет лишения свободы грозит жителю Мурманска, обвиняемому в умышленном поджоге квартиры. О завершении расследования уголовного дела сообщили в УМВД по Мурманской области.</p>
<p>Как было установлено, весной 2018 года у 43-летнего ранее судимого мужчины произошёл конфликт со своей сожительницей. После ссоры, находясь в подъезде одного из домов на улице Радищева, он поджег входную дверь квартиры и скрылся с места преступления.</p>
<p>Огонь перекинулся в общий коридор. Жительница одной из квартир обнаружила возгорание и предупредила об этом соседа. Пламя распространялось быстро, помещение заполнилось дымом, поэтому мужчина и женщина, спасаясь от огня, выпрыгнули из окон одной из квартир. В результате падения они получили тяжкие телесные повреждения.</p>
<p>Общий ущерб, причиненный здоровью и имуществу потерпевших, в результате противоправных действий злоумышленника составил более одного миллиона рублей.</p>
<p>Фигурант уголовного дела был задержан сотрудниками полиции. В настоящее время ему предъявлено обвинение в совершении преступления.</p>
<p><em>Фото: pixabay.com</em></p> </div>]","[<div class=""itemFullText"">
<p><strong><em>МУРМАНСК/ 17 января/ БИ-ПОРТ</em></strong> – «Театр все равно что музей: мы туда не ходим, но приятно знать, что он есть» (Гленда Джексон).</p>
<p>Вице-премьер правительства РФ по вопросам культуры, спорта и туризма Ольга Голодец сообщила, что в 2018 году число посетителей российских театров поставило рекорд – 40 млн человек. Отмечается, что такого уровня не было даже в советское время, когда численность населения была существенно больше.</p>
<p>«Би-порт» узнал, как часто жители и гости города ходили в театры в минувшем году.</p>
<p>В 2018 году все спектакли Мурманского областного драматического театра посетило 48308 человек, что почти на 5800 человек меньше показателя 2017 года. Из них 44646 человек посетили выступления на основной площадке театра в Мурманске. Это чуть больше показателя 2017 года – 44072 человека.</p>
<p>А вот количество людей, посетивших выездные спектакли по Мурманской области, уменьшилось. Это связано с сокращением количества спектаклей из-за поломки автобуса.</p>
<p>Как пояснили «Би-порту» в драмтеатре, в связи с ремонтом основного здания театра количество посетителей не настолько высоко, как могло бы быть. Сейчас Мурманский драматический театр находится в здании бывшего кинотеатра «Атлантика». В будущем труппу театра могут приютить у себя ДК имени Кирова и ДК Моряков.</p>
<p>А вот в Мурманском областном театре кукол дела обстоят лучше – за прошлый год кукольные спектакли посетило 48903 детей и их родителей. Представитель пресс-службы театра Мария Агапова рассказала, что это почти на две тысячи посетителей больше, чем в 2017 году.</p>
<p>На выступления драматического театра Северного флота в 2018 году пришло порядка 17910 зрителей, что немногим меньше показателя 2017 года (19 тысяч человек).</p>
<p><strong><a href=""/news/item/222792.html"" target=""_self"">Напомним</a></strong>, в этом году завершится реконструкция нового здания театра кукол и основного здания драматического театра. Если первый построят за счет федерального финансирования, то вот на драмтеатр денег выделено не было, его регион будет чинить собственными силами.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 16 января/ БИ-ПОРТ</strong></em> – В рамках традиционной инспекции глава администрации Мурманска <a href=""/persons/item/77863.html"" style=""color:green; font-weight:bold"" target=""_blank"" title=""Андрей Сысоев"">Андрей Сысоев</a> посетил сегодня МБОУ «Гимназия №8».</p>
<p>Общеобразовательное учреждение является площадкой для реализации образовательных проектов, а также в нем ведется активная работа по повышению читательской активности среди детей.</p>
<p>В связи с реализацией проекта «От обучения чтению – к чтению для обучения» в декабре прошлого года Министерство просвещения Российской Федерации присвоила гимназии №8 статус федеральной инновационной площадки на 2019-2023 годы.</p>
<p>Благодаря поддержке Мурманского морского торгового порта в гимназии провели ремонт библиотеки, а благодаря полученным грантам улучшилось ее материально-техническое оснащение. Сейчас там находится современный информационно-библиотечный центр, в котором учащиеся легко получают доступ к различным источникам информации, в том числе и электронным.</p>
<p>Сегодня в гимназии №8 обучаются порядка 786 мурманчан, а работает для них 65 педагогов. Уже осенью этого года гимназии исполнится полувековой юбилей.</p>
<p>«Летом этого года на территории гимназии начнутся работы по устройству детской спортивно-игровой площадки с искусственным покрытием, Кроме того на улице Гвардейской появится хороший современный стадион 8-й гимназии, который будет открыт для всех. Его проект согласован с родителями учащихся. Работы по возведению объекта начнутся после завершения крупных работ по строительству здания областного суда» – сообщил Андрей Сысоев.</p>
<p style=""text-align: right;""><em>АГМ</em></p> </div>]"
2,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСКАЯ ОБЛАСТЬ/ 17 января/ БИ-ПОРТ</strong> </em>– На трассе Р-21 «Кола» произошло дорожно-транспортное происшествие с участием трёх машин. Об этом сообщает УГИБДД УМВД России по Мурманской области.</p>
<p>Происшествие случилось 16 января около 18 часов в районе 1384 километра федеральной дороги. Водитель тягача Volvo с полуприцепом Chereau попытался избежать <strong><a href=""/news/item/223283.html"" target=""_blank"">столкновения</a> </strong>с впереди стоящим автомобилем Mercedes и допустил выезд на встречную полосу дороги. На «встречке» он столкнулся с автомобилями Mitsubishi Lancer и Mercedes.</p>
<p style=""text-align: center;""><img alt=""13 2"" height=""450"" src=""/mediafiles/items/2019/01/223295/13_2.jpg"" width=""600""/></p>
<p>После столкновения автомобили Volvo и Mercedes допустили съезд в левый кювет по ходу движения. В результате ДТП 31-летний водитель Mitsubishi обслужен амбулаторно.</p>
<p><em>Фото: <a href=""https://vk.com/infokola51"" target=""_self"">ДТП - ЧП Кола 51</a></em></p> </div>]","[<div class=""itemFullText"">
<p><em><strong>РЕВДА/ 22 января/ БИ-ПОРТ</strong></em> – В полицию обратился 53-летний житель Ревды с заявлением о том, что он обнаружил свой автомобиль Toyota в разбитом состоянии – множество вмятин и выбитые стекла. Ущерб был оценен в 207 тысяч рублей.</p>
<p>Сотрудники полиции установили, что злоумышленник залез в гараж, отогнув металлическую дверь. Взломщик был установлен и задержан. Им оказался местный подросток, ранее попадавший в поле зрения органов за хулиганское поведение.</p>
<p>По данному факту возбуждено уголовное дело по ч. 1 ст. 167 УК РФ «Умышленное уничтожение или повреждение имущества» с максимальным наказанием – лишение свободы на срок до двух лет.</p>
<p><em>Фото: Юга.ру</em></p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong> </em>- Мурманский областной художественный музей отмечает свой 29-й день рождения. В честь знаменательного события музей приглашает на интересные культурные мероприятия.</p>
<p>В честь дня рождения музея пройдёт просмотр фильма «ТПО». В фильме рассказывается об истории здания, где сейчас располагается музей, о людях, которые стояли у истоков создания музея, о деятельности музея сейчас. Начало показа – в 18 часов.</p>
<p>В этот же день в 17 часов в отделе Мурманского областного художественного музея «Культурно-выставочный центр Русского музея» состоится открытие выставки «Жизнь блокадного города», посвященная 75-летию полного снятия блокады Ленинграда, а в Мурманской областной филармонии народная артистка России Светлана Крючкова выступит с программой «Ленинградцы – дети мои!...». Начало – в 18:30.</p>
<p>18 января в 17 часов в главном здании Мурманского областного художественного музея состоится торжественное открытие выставки живописи и графики Виталия Бубенцова. Выставка посвящена 75-летию со дня рождения художника и 50-летию его творчества. Проработает экспозиция до 17 февраля.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 16 января/ БИ-ПОРТ</strong></em> – Во дворце творчества «Лапландия» с 23 по 25 января состоится региональный робототехнический фестиваль «Робофест – Мурманск 2019». В нём примут участие ребята 6-18 лет, увлекающиеся научно-техническим творчеством, со всей Мурманской области.</p>
<p>В рамках мероприятия будет проводиться отбор на Всероссийский технологический фестиваль «Профест» и открытый чемпионат России «FEST RUSSIA OPEN 2019» по направлениям «Hello, Robot!» LEGO, «Hello, Robot!» OPEN, FIRST Jr.FLL, FIRST FLL, «РобоКарусель». Отбор пройдёт в рамках программы «Робототехника: инженерно-технические кадры инновационной России», реализуемой Фондом «Вольное Дело».</p>
<p>Церемония открытия первых соревнований состоится 23 января 2019 года в 12.00 в большом фойе «Лапландии» на втором этаже. Программа «Робофест – Мурманск 2019» опубликована на сайте ГАУДО МО «МОЦДО «Лапландия».</p> </div>]"
3,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong></em> – В Мурманске в районе Росляково, возле дома 5а по улице Приморской, водитель автомобиля Hyundai, двигаясь задним ходом, сбил женщину и скрылся. ДТП произошло 29 декабря 2018 года в 19 часов.</p>
<p>Пострадавшая, 1962 года рождения, получила травмы.</p>
<p>ДПС ГИБДД убедительно просит водителя обратиться для дачи показаний в отделение по адресу: улица Карла Либкнехта 46/1, кабинет 215.</p>
<p>Очевидцам ДТП необходимо позвонить по телефону 40-79-70, 127 или обратиться в отделение по указанному выше адресу в будние дни с 9 до 17 часов.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 21 января/ БИ-ПОРТ</strong></em> – В полицию Мурманска обратился таксист с заявлением об угоне автомобиля. Потерпевший рассказал, что ночью подвозил одного клиента и тот попросил остановиться у магазина и сходить за сигаретами. Ключи он оставил в замке зажигания. Вернувшись, автомобиля не было на месте.</p>
<p>Всем наружным отрядам полиции была передана ориентировка подозреваемого. Вскоре его обнаружили и доставили в отдел полиции.</p>
<p>Угонщиком оказался мурманчанин, 1972 года рождения. Ранее он уже привлекался к ответственности за нарушения ПДД, управление автомобилем в состоянии алкогольного опьянения и был лишен водительских прав.</p>
<p>По данному факту возбуждено уголовное дело по ч. 1 ст. 166 УК РФ «Неправомерное завладение автомобилем или иным транспортным средством без цели хищения» с максимальным наказанием – лишение свободы на срок до пяти лет.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 17 января/ БИ-ПОРТ</strong></em> - Юные северяне смогут увидеть любимых героев Эдуарда Успенского.</p>
<p>19 января в 11:30 и 14:00 маленькие зрители областного театра кукол встретятся с любимыми героями известного автора.</p>
<p>Стоит отметить, что в день показа спектакля «Зима в Простоквашино» юных северян в фойе театра встретит старуха Шапокляк, почтальон Печкин, кот Матроскин и пес Шарик.</p> </div>]","[<div class=""itemFullText"">
<p style=""text-align: center;""><em><strong><img alt=""25"" height=""338"" src=""/mediafiles/items/2019/01/223263/25.jpg"" width=""450""/><br/></strong></em></p>
<p><em><strong>МУРМАНСК/ 16 января/ БИ-ПОРТ</strong> </em>– В Мурманском индустриальном колледже заработала новая региональная площадка сетевого взаимодействия (РПСВ).</p>
<p><strong><a href=""/news/item/222552.html"" target=""_self"">Напомним</a></strong>, в рамках данной региональной площадки колледж работает в области подготовки кадров по направлению «Промышленные и инженерные технологии» (специализация «Машиностроение, управление сложными техническими системами, обработка материалов»).</p>
<p>Главная цель РПСВ – это повысить эффективность использования потенциала входящих в сеть организаций, а также достижение результативности и качества профессионального образования.</p>
<p><em>Фото: ГТРК «Мурман»</em></p> </div>]"
4,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСКАЯ ОБЛАСТЬ/ 16 января/ БИ-ПОРТ</strong></em> - Управление Федеральной антимонопольной службы по Мурманской области провело второй за 2019 год еженедельный мониторинг рынков реализации нефтепродуктов и уровня цен. Специалисты Мурманского УФАС проанализировали цены за период с 7 по 13 января.</p>
<p>Объектами мониторинга антимонополистов стали компании ООО «Лукойл-Северо-Западнефтепродукт», ПАО «НК «Роснефть»-Мурманскнефтепродукт», ООО «Сёркл Кей Россия», ООО «Колизей», ООО «Витэк», ООО «Спецтехнология Плюс» и ООО «Вега».</p>
<p>По результатам мониторинга выявлено, что на АЗС трёх компаний выявлено повышение цен на несколько видов топлива. Увеличение стоимость топлива зафиксировано у независимых продавцов - ООО «Колизей», ООО «Витэк», ООО «Спецтехнология Плюс». Цена за один литр топлива поднялась на 10-50 копеек.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МОНЧЕГОРСК/ 21 января/ БИ-ПОРТ</strong></em> – 58-летний житель Мончегорска заявил в полицию о совершенном в отношении него мошенничестве, сообщает управление МВД России по Мурманской области. Потерпевший оставил заявку на получение кредита на сайте коммерческого банка. С ним связалась женщина и сообщила об одобренном кредите на сумму 500 тысяч рублей, представившись менеджером банка.</p>
<p>Для получения кредита нужно было подтвердить платежеспособность, а также внести оплату за составление кредитного договора и открытие счёта. Злоумышленница назвала номера счетов и потерпевший перевел более 80 тысяч рублей. Мужчина перезвонил, чтобы сообщить о перечислении денег, но абонент уже был недоступен.</p>
<p>Полицейские установили, что общение с неизвестной происходило по телефону, зарегистрированному в Москве. В настоящее время по факту возбуждено и расследуется уголовное дело по части второй статьи 159 УК РФ (мошенничество).</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 16 января/ БИ-ПОРТ</strong></em> – В Мурманской областной научной библиотеке состоится встреча-диалог с участниками движения свободных путешественников «Sunsurfers». Мероприятие «Путешествие и фриланс – ищем баланс» пройдет 24 января в 18 часов.</p>
<p>Ведущие Саша Уикенден и Надежда Насырова поделятся советами и лайфхаками о том, как бюджетно путешествовать и с чего начать, если вы хотите изменить вашу жизнь. Также девушки раскроют слушателям тайны о совмещении работы с путешествиями и зарабатывании денег в них.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 15 января/ БИ-ПОРТ</strong> </em>– Одна из участниц мурманской группы социальной сети «ВКонтакте» опубликовала фотографии из столовой местной школы №5. <a href=""https://vk.com/wall-5608669_5489517"" target=""_self"">Кадры</a>, которые запечатлены, могут вызвать неприятное чувство и потерю аппетита.</p>
<p>«В столовой школы №5 подают вот такие аппетитные блюда. Компот с червями, а на второе гуляш с волосами», - написала мурманчанка в описании под фотографиями.</p>
<p>Многие комментаторы под постом были шокированы такими находками в еде, в связи с чем, негативно восприняли данные фотографии. Некоторые даже напомнили о возможных нововведениях, при которых детям будет <strong><a href=""/news/item/223029.html"" target=""_self"">запрещено</a> </strong>приносить с собой собственную еду.</p> </div>]"
5,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 16 января/ БИ-ПОРТ</strong></em> — В Мурманске 15 января произошло столкновение двух автомобилей. Днём на улице Хлобыстова водитель автомобиля ВАЗ выезжал с прилегающей территории и не предоставил преимущества в движении водителю автомобиля «Ауди». В результате произошло столкновение.</p>
<p>Помощь потребовалась 44-летней пассажирке автомобиля ВАЗ. Она была обслужена амбулаторно.</p>
<p><em>Фото: <a href=""https://vk.com/murmansk_dtp"" target=""_self"">Мурманск ДТП ЧП</a></em></p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСКАЯ ОБЛАСТЬ/ 21 января/ БИ-ПОРТ</strong></em> – В Мурманской области сотрудниками МВД России «Полярнозоринский» разыскивается Дмитрий Донской, родившийся 1 декабря 1963 года рождения.</p>
<p>Он обвиняется в преступлении по ч. 4 ст. 111 УК РФ «Умышленное причинение тяжкого вреда здоровью, повлекшее смерть».</p>
<p>Всех, кто обладает какой-либо информацией о местонахождении разыскиваемого, просят сообщить по телефонам: 8-999-091-63, 8-999-091-60-35, 8 (815-32) 6-31-07 или 02.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 16 января/ БИ-ПОРТ</strong></em> - В областном краеведческом музее открылась выставка «Шедевры современного православного искусства». Посетители увидели вышитые бисером, жемчугом и драгоценными камнями иконы, иконы из фарфора, панно, церковную утварь и посуду. Их изготовили в художественных мастерских Ольги Кириной, Гребенниковых, Мануйловых, Перовых, Виктора Голунова и поселка Мстёра. Это говорит о том, что в современное православное искусство в России стало семейным делом.</p>
<p style=""text-align: center;""><img alt=""14 2"" height=""450"" src=""/mediafiles/items/2019/01/223251/14_2.jpg"" width=""600""/></p>
<p>«Мы с мужем делаем иконы из бересты более 20 лет. Он делает киоты, а я внутренне наполнение, то есть сами святые образы и украшения, - рассказывает мастер Ольга Кирина. - Началось все с маленького берестяного образка, который я увидела в храме и подумала, что можно наверно же делать из бересты целые иконы. Тогда мы жили в Сибири, где легко достать этот материал и мы занялись этим ремеслом серьезно. Береста материал очень мягкий и податливый, поэтому образы я даже не пишу, а леплю. Даже техника называется «рельефно-прорезная». Украшаю иконы драгоценными и полудрагоценными камнями. Все делается абсолютно вручную. Сейчас это дело нашей жизни, которое позволяет неплохо зарабатывать. Мы работаем по заказам, которые поступают постоянно.</p>
<p>Организаторами подготовки и прибытия выставки в Мурманскую область стали Благотворительные фонды святого воина Феодора Ушакова и «Достойно Есть». До Мурманска выставка побывала в православных приходах Умбы и Североморска по приглашению епископа Умбского и Североморского Митрофана. Её увидели войны Северного флота, школьники, и все желающие. Так же икона небесного покровителя военных моряков, адмирала Федора Ушакова, была доставлена на военные корабли, моряки которых узнали о военных и духовных подвигах святого. До этого выставку увидели жители Японии.</p>
<p style=""text-align: center;""><img alt=""14 3"" height=""450"" src=""/mediafiles/items/2019/01/223251/14_3.jpg"" width=""600""/></p>
<p>«Я очень рада, что у нас совершенно случайно появилась возможность показать эти работы мурманчанам потому, что в них сохраняются главная традиция православия и русской культуры, которые, по сути, неотделимы друг от друга. Художники с такой любовью исполняли эти работы, что всем нам становится понятно, что Бог есть любовь. Будет очень хорошо, если к этим прекрасным произведениям приобщиться наша молодежь, - отметила во время приветственного слова вице-губернатор Мурманской области Инна Погребняк.</p>
<p>В Мурманске выставка будет работать ежедневно с 11 до 18 часов до 30 января. Выходные дни: четверг, пятница.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСКАЯ ОБЛАСТЬ/ 15 января/ БИ-ПОРТ</strong></em> - Соответствующим приказом Министерства просвещения Российской Федерации статус федеральных инновационных площадок на 2019-2023 годы присвоен трем образовательным организациям Мурманской области.</p>
<p>Мурманская гимназия №8 получила этот статус с проектом «От обучения чтению – к чтению для обучения» (директор – Ольга Дзюба).</p>
<p><strong><a href=""http://murindkol.ru/"" target=""_self"">Мурманский индустриальный колледж</a></strong> – с проектом «Создание региональной сетевой площадки подготовки кадров по профессиям/специальностям СПО, входящим в область подготовки из перечня ТОП-50: Промышленные и инженерные технологии (специализация «Машиностроение, управление сложными техническими системами, обработка материалов») (директор – Григорий Шатило).</p>
<p>Продлен статус федеральной инновационной площадки на 2019 год Мурманскому областному центру дополнительного образования «Лапландия» – проект «Юные инженеры Арктики: от выбора образовательной программы к выбору жизненного пути» (директор – Сергей Кулаков).</p> </div>]"
6,"[<div class=""itemFullText"">
<p><em><strong>МУРМАНСКАЯ ОБЛАСТЬ/ 15 января/ БИ-ПОРТ</strong></em> – Вчера, 14 января, на 1286 километре автодороги Р-21 «Кола» в 13:10 автомобили двух пенсионеров столкнулись друг с другом. Известно, что 81-летний водитель Renault потерял контроль и выехал на полосу встречного движения, где столкнулся с автомобилем Toyota Corolla, за рулем которой был 56-летний мужчина. Потерпевшие обслужены амбулаторно.</p>
<p>В 20:10 у первого километра автодороги «Заполярный - Сальмиярви» в условиях тумана водитель Mercedes Benz не справился с транспортным средством и вылетел в кювет, перевернув автомобиль. 54-летний водитель был госпитализирован.</p>
<p><em>Фото: <a href=""https://vk.com/murmansk_dtp"" target=""_self"">Мурманск ДТП ЧП</a></em></p> </div>]","[<div class=""itemFullText"">
<table align=""center"" border=""0"" class=""border_null"">
<tbody>
<tr>
<td><img alt=""29 1"" height=""314"" src=""/mediafiles/items/2019/01/223435/29_1.jpg"" width=""418""/></td>
<td><img alt=""29 2"" height=""314"" src=""/mediafiles/items/2019/01/223435/29_2.jpg"" width=""236""/></td>
</tr>
</tbody>
</table>
<p><em><strong>АПАТИТЫ/ 21 января/ БИ-ПОРТ</strong> </em>– В отношении жителя Апатитов возбуждено уголовное дело по признакам преступления, предусмотренного частью первой статьи 105 УК РФ (убийство). По версии следствия, утром 18 января 2019 года 38-летний мужчина нанёс три удара ножом 32-летней женщине, приютившей его у себя дома, сообщает следственный комитет РФ по Мурманской области.</p>
<p>Женщина не оказывала сопротивления и скончалась на месте от полученных телесных повреждений. Злоумышленник, осознав содеянное, спешно покинул место преступления, избавился от ножа и своей одежды.</p>
<p>Мужчина был задержан на следующий день. Первоначально он сообщил, что противоправные действия совершил находящийся в квартире очевидец. Позже он признался в совершении преступления, подробно рассказав обстоятельства случившегося. Следствие заявило перед судом ходатайство об избрании меры пресечения в виде заключения под стражу.</p>
<p>По уголовному делу назначен комплекс судебных экспертиз, проводятся следственные действия, направленные на установление всех обстоятельств. Санкция статьи предусматривает максимальное наказание в виде лишения свободы на срок до 15 лет.</p> </div>]","[<div class=""itemFullText"">
<p><em><strong>МУРМАНСК/ 15 января/ БИ-ПОРТ</strong></em> - Наверное, не найдется меломана, который бы не любил творчество легендарной четверки из Ливерпуля. С 2001 года по решению ЮНЕСКО 16 января отмечается Всемирный день «The Beatles» (World Beatles Day). В эту среду отель «Park Inn by Radisson Полярные Зори» в очередной раз с удовольствием присоединится к этому празднику! Новый сезон 2019 года начинается акустически, однако почти все артисты обещали включить в свой репертуар каверы на песни легендарной рок группы! Немножко почувствовать себя битлами на сцене клуба «Ледокол» смогут Durrell Vælli , Ramy Elhagali, Максим Барабанов и Yarah Brodnikova.</p>
<p>Всех битломанов и просто любителей живой музыки мы приглашаем на музыкальную встречу Jazz &amp; Blues Cafe!</p>
<p>Ведущая Наталья Карча обещает бокал горячего ароматного напитка всем тем, кто соблюдет дрес-код а-ля-битлз.</p>
<p><strong>All you need is... music!</strong></p> </div>]","[<div class=""itemFullText"">
<p><strong><em>ПОЛЯРНЫЕ/ 14 января/ БИ-ПОРТ</em> </strong>- На Кольской АЭС состоялась «Ёлка отличников», на которую были приглашены 20 лучших учащихся школ города Полярные Зори. С Новым годом ребят поздравили руководители предприятия и профсоюзной организации Кольской АЭС.</p>
<p>Во время встречи со школьниками директор Кольской АЭС Василий Омельчук рассказал о работе станции, поделился планами на будущее, дал несколько полезных советов и наставлений. Ребят в свою очередь интересовали ремонтные кампании предприятия, разработки в ядерной медицине, планы по строительству Кольской АЭС-2. Они попросили дать совет по выбору будущей профессии. Между учениками и директором получился открытый интересный диалог.</p>
<p>После напутственных слов, поздравлений, вручения памятных подарков и общего фото школьники отправились на экскурсию по Кольской АЭС. В этом году для них был разработан новый маршрут посещения станции. Старшеклассники побывали в машинном зале турбинного цеха, на открытом распределительном устройстве 330 кВ, посетили ангар спецтехники.</p>
<p>Завершилось мероприятие праздничным ужином и насыщенной спортивной программой в учебно-реабилитационном центре предприятия.</p> </div>]"
