,14,3,5,7
0,"[<div class=""Text""><p>Компания «Яндекс» приобрела сервис вопросов и ответов TheQuestion, планируя объединить его с «Яндекс.Знатоками». Об этом Агентству городских новостей «Москва» сообщили в пресс-службе «Яндекса».</p><p>«Яндекс» купил сервис вопросов и ответов TheQuestion. Он объединится с «Яндекс.Знатоками» под руководством основательницы TheQuestion Тони Самсоновой и дополнит результаты поиска «Яндекса». В частности, в ближайшее время в поисковой выдаче «Яндекса» появятся быстрые ответы с TheQuestion», - говорится в сообщении.</p><p>В пресс-службе пояснили, что осенью 2018 г. «Яндекс» начал показывать в поиске быстрые ответы Знатоков - они помогают людям узнать, к примеру, сколько планет во вселенной или как обеспечить анонимность в интернете, и разобраться в других вопросах без однозначного ответа. С момента запуска пользователи стали видеть быстрые ответы Знатоков в 10 раз чаще - сейчас они появляются в результатах поиска 1,8 млн раз в день. Планируется, что благодаря TheQuestion количество быстрых ответов значительно вырастет: за четыре года работы сервиса люди написали там около 700 тыс. ответов на вопросы. Пользователи «Яндекса» будут видеть в результатах поиска еще больше качественных ответов и смогут быстрее узнавать то, что им нужно.</p><p>«Мы начинали делать TheQuestion в надежде, что когда-нибудь каждый человек в России, стремящийся к саморазвитию, сможет получить доступ к ответам экспертов и познакомиться с людьми, которые вдохновят его и помогут изменить жизнь к лучшему. В сообществе экспертов нашего сервиса много профессионалов, готовых помочь тем, кто ищет ответы на всевозможные вопросы. Теперь миллионы пользователей «Яндекса» смогут обратиться к нашим экспертам и сами начнут отвечать на вопросы по темам, в которых разбираются», - приводятся в сообщении слова основательницы TheQuestion Т.Самсоновой.</p><p>Как пояснил руководитель Поиска «Яндекса» Андрей Стыскин, чьи слова приводятся в сообщении, пользователям нравятся быстрые ответы прямо в результатах поиска «Яндекса» и в диалогах с «Алисой». «В недавнем обновлении поиска «Андромеда» мы сделали их разнообразнее и добавили возможность получать экспертные ответы от «Яндекс.Знатоков». Я рад, что теперь к Знатокам присоединилась команда TheQuestion. Знания и опыт сообщества экспертов TheQuestion в сочетании с нашими наработками и технологиями позволят людям получать ответы на самые разные вопросы, даже если в интернете недостаточно информации по ним», - подчеркнул А.Стыскин.</p><p>В пресс-службе пояснили, что узнать больше о том, как будет работать TheQuestion после объединения с «Яндексом», можно будет на прямой линии: Т.Самсонова и А.Стыскин будут отвечать на вопросы пользователей 13 марта 2019 г., начиная с 11:00, на сайте ask.thequestion.ru.</p><p>TheQuestion доступен на сайте thequestion.ru и в приложениях для iOS и Android. В сервисе любой человек может задать вопрос и получить на него ответ от других людей, среди которых есть врачи, журналисты, ученые, музыканты и другие специалисты. Пользователи оценивают полученные ответы, и на основе этих оценок формируется рейтинг экспертов в той или иной теме. За последние три года аудитория TheQuestion увеличилась в 10 раз - до 10 млн пользователей в месяц.</p></div>]","[<div class=""Text""><p>Российская столица по долгосрочной динамике развития входит в число 10 крупнейших городских агломераций мира по размеру экономики. Об этом сообщила пресс-служба департамента экономической политики и развития столицы.</p><p>«Москва играет стратегическую роль в экономическом развитии России и значимую - в мире. По долгосрочной динамике развития Москва опережает мегаполисы Западной Европы и США и входит в топ-10 крупнейших<br/>городских агломераций мира по размеру экономики, опережая Сеул, Париж, Чикаго и Пекин», - приводятся в сообщении слова заместителя мэра Москвы в правительстве столицы по вопросам экономической политики и имущественно-земельных отношений Владимира Ефимова.</p><p>По его словам, долговременными преимуществами Москвы в глобальной конкуренции являются мощный внутренний потребительский рынок (16 место в мире по величине населения городских агломераций), качественные трудовые ресурсы (более 50% занятых в экономике города имеют высшее образование), высокий уровень развития информационно-коммуникационных технологий и высокое качество городской среды. Кроме того, у сегодняшней Москвы много ценовых достоинств для мирового инвестора: в столице электроэнергия для предприятий вдвое дешевле, чем в Лондоне, цены на бензин в два с половиной раза меньше, чем в Париже, а средние ставки офисной аренды вдвое ниже, чем в Нью-Йорке.</p><p>В пресс-службе добавили, что пройдя через экономический кризис 2014-2015 гг., Москва активизировала работу по двум основным направлениям: поиску новых источников доходов и оптимизации расходов. «Предпринятые в Москве налоговые реформы (перевод имущественного налогообложения на исчисление от кадастровой стоимости, введение торгового сбора, реформа патентной системы, новая миграционная политика) позволили мобилизовать новые источники налоговых доходов, снизить зависимость бюджета от нефтегазового сектора в четыре раза. Данные меры в сочетании с сокращением собственных расходов города позволили сформировать долгосрочный сбалансированный профицитный бюджет, основой которого являются налоговые поступления (до 90% городского бюджета Москвы) и до минимума сократить государственный долг Москвы», - подчеркнул В.Ефимов.</p><p>Он добавил, что дальнейшее развитие Московской агломерации лежит на пути интенсивного развития высокомаржинальных секторов экономики - современных производств и информационных технологий, сферы услуг, индустрии развлечений.</p></div>]","[<div class=""Text""><p>Российская столица по долгосрочной динамике развития входит в число 10 крупнейших городских агломераций мира по размеру экономики. Об этом сообщила пресс-служба департамента экономической политики и развития столицы.</p><p>«Москва играет стратегическую роль в экономическом развитии России и значимую - в мире. По долгосрочной динамике развития Москва опережает мегаполисы Западной Европы и США и входит в топ-10 крупнейших<br/>городских агломераций мира по размеру экономики, опережая Сеул, Париж, Чикаго и Пекин», - приводятся в сообщении слова заместителя мэра Москвы в правительстве столицы по вопросам экономической политики и имущественно-земельных отношений Владимира Ефимова.</p><p>По его словам, долговременными преимуществами Москвы в глобальной конкуренции являются мощный внутренний потребительский рынок (16 место в мире по величине населения городских агломераций), качественные трудовые ресурсы (более 50% занятых в экономике города имеют высшее образование), высокий уровень развития информационно-коммуникационных технологий и высокое качество городской среды. Кроме того, у сегодняшней Москвы много ценовых достоинств для мирового инвестора: в столице электроэнергия для предприятий вдвое дешевле, чем в Лондоне, цены на бензин в два с половиной раза меньше, чем в Париже, а средние ставки офисной аренды вдвое ниже, чем в Нью-Йорке.</p><p>В пресс-службе добавили, что пройдя через экономический кризис 2014-2015 гг., Москва активизировала работу по двум основным направлениям: поиску новых источников доходов и оптимизации расходов. «Предпринятые в Москве налоговые реформы (перевод имущественного налогообложения на исчисление от кадастровой стоимости, введение торгового сбора, реформа патентной системы, новая миграционная политика) позволили мобилизовать новые источники налоговых доходов, снизить зависимость бюджета от нефтегазового сектора в четыре раза. Данные меры в сочетании с сокращением собственных расходов города позволили сформировать долгосрочный сбалансированный профицитный бюджет, основой которого являются налоговые поступления (до 90% городского бюджета Москвы) и до минимума сократить государственный долг Москвы», - подчеркнул В.Ефимов.</p><p>Он добавил, что дальнейшее развитие Московской агломерации лежит на пути интенсивного развития высокомаржинальных секторов экономики - современных производств и информационных технологий, сферы услуг, индустрии развлечений.</p></div>]","[<div class=""Text""><p>Управлением Россельхознадзора по Москве, Московской и Тульской областям обнаружена табачная белокрылка в цветах лизиантуса из Израиля. Об этом сообщили в пресс-службе надзорного ведомства.</p><p>«На фитосанитарном контрольном посту «Автологистика» при досмотре срезов цветов лизиантуса, происхождением Израиль, был выявлен карантинный для РФ объект - табачная белокрылка», - говорится в сообщении. </p><p>Отмечается, что наличие карантинного объекта в жизнеспособном состоянии подтверждено лабораторной экспертизой, проведенной специалистами ФГБУ «Всероссийский центр карантина растений».</p><p>«Зараженные срезы цветов уничтожены в соответствии с фитосанитарным законодательством РФ», - добавили в Россельхознадзоре.</p></div>]"
1,"[<div class=""Text""><p>Интеллектуальную транспортную систему (ИТС) инновационного центра «Сколково» обновят ко II кварталу 2020 г. Об этом журналистам сообщил президент некоммерческого партнерства «ГЛОНАСС», соруководитель рабочей группы национальной технологической инициативы «Автонет» Александр Гурко.</p><p>«Весной 2019 г. НП «ГЛОНАСС» начнется обновление интеллектуальной транспортной системы «Сколково». Новая версия системы позволит полностью автоматизировать многие процессы, один из которых это управление транспортными потоками без участия человека. Уже во втором квартале текущего года пилотный проект обновленной интегрированной интеллектуальной системы будет запущен в «Сколково», в 2020 г. - в ряде регионов РФ», - сказал А.Гурко.</p><p>По его словам, общая стоимость проекта составляет около 450 млн руб. «Внедрение системы позволит повысить качество жизни людей с снизит количество ДТП и пробок на дорогах, повысить эффективность и снизить затраты на управление транспортными и пассажирскими потоками. Также одна из целей проекта  - создание и вывод на российский и зарубежный рынки коммерческого продукта интегрированной ИТС », - пояснил он.</p><p>Как отметил А.Гурко, обновление ИТС решит задачу получения типового продукта по управлению транспортными потоками без участия человека. </p><p>«Данное решение можно будет тиражировать по городам Российской Федерации. Для принятия автоматического решения платформа будет использовать обогащенные, перекрестно верифицированные «большие данные», агрегированные из различных источников анализа движения и дорожной ситуации. В том числе информации о ДТП, скоплении автомобилей, инфраструктуры, комплексных и инструментальных подсистем внешних автоматических систем управления дорожных движением», - заключил А.Гурко.</p><p>В 2018 г. премьер-министр Дмитрий Медведев подписал постановление о проведении эксперимента по тестированию беспилотных автомобилей на дорогах общего пользования. Оценивать ход эксперимента будут МВД, Минпромторг, НТИ «Автонет» и ФГУП «НАМИ».</p></div>]","[<div class=""Text""><p>Мэр Москвы Сергей Собянин подписал постановление об утверждении гарантий дополнительного лекарственного обеспечения граждан, страдающих онкологическими заболеваниями. Документ опубликован на официальном сайте мэра столицы. </p><p>«Правительство Москвы постановляет: установить для граждан, имеющих место жительства в Москве, страдающих онкологическими заболеваниями, преобладающими в структуре заболеваемости в Москве, гарантии дополнительного лекарственного обеспечения, которое предусматривает для лечения онкологического заболевания обеспечение лекарственными препаратами сверх перечня жизненно необходимых и важнейших лекарственных препаратов для медицинского применения и лекарственными препаратами, включенными в указанный перечень, на условиях и в порядке, предусмотренных настоящим постановлением», - говорится в постановлении.</p><p>Согласно изменениям, внесенным в постановление «О территориальной программе государственных гарантий бесплатного оказания гражданам медицинской помощи в Москве на 2019 г. и плановый период 2020 и 2021 гг.», при оказании медицинской помощи в амбулаторных условиях гражданам старше 18 лет, страдающим онкологическими заболеваниями, осуществляется назначение и выписывание лекарств в формах таблеток и капсул, предусмотренных схемой лечения, которая была определена в соответствии с клинической рекомендацией лечения онкологического заболевания.</p><p>При оказании помощи гражданам старше 18 лет, которые застрахованы по обязательному медицинского страхованию в Москве и страдают онкологическими заболеваниями, лечащими врачами-онкологами медицинских организаций назначаются лекарственные препараты в жидких лекарственных формах, которые предназначены для инъекций. Дозировка, способ и кратность введения предусмотрены схемой лечения, определенной в соответствии с клинической рекомендацией без выписывания рецептов на лекарственные препараты. Получение таких препаратов осуществляется в условиях дневного стационара медицинской организации, которая осуществляет деятельность в сфере обязательного медицинского страхования в Москве, и куда направлен пациент для лечения онкологического заболевания.</p><p>В случаях, когда медицинская помощь оказывается детям, страдающим онкозаболеваниями, лечащие врачи-детские онкологи назначают лекарственные препараты в жидких формах, которые предназначены для инъекций. Их получение осуществляется в соответствии с назначением лечащего врача в условиях дневного стационара, куда направлен пациент для лечения.</p><p>Настоящее постановление вступает в силу с 31 марта 2019 г.</p></div>]","[<div class=""Text""><p>Малому бизнесу компенсируют потерю площадей при сносе пятиэтажек в рамках программы реновации жилфонда в Москве. Об этом на выставке MIPIM сообщил руководитель департамента градостроительной политики Москвы Сергей Левкин.</p><p>«Мы полностью знаем, что сегодня есть в сносимом жилом фонде в части функционирования малого бизнеса - мы знаем каждое предприятие - этот анализ уже проведен. И, безусловно, мы сможем им предлагать на эти первые этажи переместиться для продолжения своего бизнеса, если им будет интересно. Если нет, то будем в денежном эквиваленте, как по закону это положено, возвращать деньги», - сказал С.Левкин.</p><p>Он также напомнил, что ранее было принято решение сделать нежилыми первые этажи в построенных по программе реновации домах.</p></div>]","[<div class=""Text""><p>Более 40 территорий в столичном районе Таганский планируется озеленить осенью 2019 г., сообщает пресс-служба префектуры Центрального административного округа Москвы.</p><p>«Свыше 40 территорий Таганского района запланировали озеленить в рамках акции «Миллион деревьев». Работы стартуют осенью 2019 г.», - говорится в сообщении.</p><p>Как пояснил ведущий инженер отдела по благоустройству ГБУ «Жилищник» Леонид Сенкевич, чьи слова приводятся в сообщении, планируется высадить 460 деревьев и 5 тыс. 350 кустарников.</p><p>Он уточнил, что в Таганском районе появятся ель обыкновенная, липа крупнолистная, боярышник кроваво-красный, лапчатка кустарниковая, лох серебристый и другие растения.</p></div>]"
2,"[<div class=""Text""><p>Концепцию платформы проекта «АвтоДата» по сбору и агрегации автомобильных и транспортных данных могут разработать до мая 2019 г. Об этом сообщил соруководитель рабочей группы Национальной технологической инициативы (НТИ) «Автонет» Александр Гурко.</p><p>«АвтоДата» - это история про уже имеющиеся системы на борту и сбор данных с них. До мая будет разработана концепция, предэскизное проектирование самой платформы «АвтоДата». Сейчас необходимо решить вопрос с правовым статусом данных, которые собираются. Спроектировать саму платформу, определить протоколы, принципы сбора, передачи, хранения и предоставления данных о поведении автомобилей, водителей, взаимодействия с инфраструктурой. Определить, кто будет оператором этой платформы и подходы к монетизации данных, которые собираются в платформе «АвтоДата», - сказал А.Гурко.</p><p>Ранее издание «Вестник ГЛОНАСС» сообщало, что «АвтоДата» станет российской сервисной навигационно-телематической платформой, обеспечивающей формирование массива статистических и аналитических данных о колесных транспортных средствах, дорожной инфраструктуре и иной информации в транспортной сфере, в том числе связанной с логистикой людей и вещей. Как отмечалось, создание платформы «АвтоДата» позволит сформировать массив «больших» данных автотранспортной сферы с момента выпуска в обращение до утилизации автомобиля, включая данные о функционировании бортовых систем, поведении водителя и взаимодействии с инфраструктурой; а также создаст цифровую среду для поддержки движения транспорта с различными степенями автоматизации по дорогам общего пользования.</p></div>]","[<div class=""Text""><p>Мэр Москвы Сергей Собянин подписал постановление об утверждении гарантий дополнительного лекарственного обеспечения граждан, страдающих онкологическими заболеваниями. Документ опубликован на официальном сайте мэра столицы. </p><p>«Правительство Москвы постановляет: установить для граждан, имеющих место жительства в Москве, страдающих онкологическими заболеваниями, преобладающими в структуре заболеваемости в Москве, гарантии дополнительного лекарственного обеспечения, которое предусматривает для лечения онкологического заболевания обеспечение лекарственными препаратами сверх перечня жизненно необходимых и важнейших лекарственных препаратов для медицинского применения и лекарственными препаратами, включенными в указанный перечень, на условиях и в порядке, предусмотренных настоящим постановлением», - говорится в постановлении.</p><p>Настоящее постановление вступает в силу с 31 марта 2019 г.</p></div>]","[<div class=""Text""><p>Объем инвестиций в основной капитал в Москве вырос на 15,3% в 2018 г. по сравнению с 2017 г. Об этом сообщила пресс-служба департамента экономической политики и развития столицы.</p><p>«Объем инвестиций в основной капитал в Москве в 2018 г. составил 2,43 трлн руб., что на 15,3% выше показателя 2017 г. За восемь лет инвестиции в основной капитал выросли в сопоставимых ценах более чем в два раза», - приводятся в сообщении слова заместителя мэра Москвы в правительстве столицы по вопросам экономической политики и имущественно-земельных отношений Владимира Ефимова.</p><p>Отмечается, что в 2018 г. доля внебюджетных инвестиций составила 74% - это на 2 процентных пункта больше, чем в предыдущем году. На каждый бюджетный рубль город получает 3-3,5 руб. частных инвестиций. В структуре финансирования инвестиций в основной капитал увеличилась доля собственных средств с 55% до 58%.</p></div>]","[<div class=""Text""><p>Россельхознадзор в Подмосковье выявил цветочный трипс в розах из Кении. Об этом сообщает пресс-служба Россельхознадзора по Москве, Московской и Тульской областям. </p><p>«Управлением Россельхознадзора по Москве, Московской и Тульской областям на фитосанитарном контрольном посту «Домодедово Карго», при досмотре срезов цветов роз происхождением Кения был выявлен карантинный для РФ объект - западный (калифорнийский) цветочный трипс. Наличие карантинного объекта в жизнеспособном состоянии подтверждено лабораторной экспертизой, проведенной специалистами федерального государственного бюджетного учреждения «Всероссийский центр карантина растений», - говорится в сообщении.</p><p>Зараженные срезы цветов уничтожены в соответствии с фитосанитарным законодательством РФ, добавили в пресс-службе.</p></div>]"
3,"[<div class=""Text""><p>Производитель развивающих образовательных наборов для детей, а также оборудования для научно-исследовательской и проектной деятельности школьников и студентов – компания «Научные развлечения» - получила статус резидента особой экономической зоны (ОЭЗ) «Технополис «Москва». Об этом сообщили в пресс-службе департамента инвестиционной и промышленной политики Москвы.</p><p>«Статус ОЭЗ «Технополис «Москва» получила еще одна компания – ООО «Научные развлечения». Предприятие более 20 лет разрабатывает и выпускает учебное оборудование, сейчас производство компании расположено на площадке ОЭЗ в Печатниках», - говорится в сообщении.</p><p>Уточняется, что компания производит развивающие образовательные наборы для детей по физике, химии, биологии, экологии, физиологии и оборудование для научно-исследовательской и проектной деятельности школьников и студентов. </p><p>«В измерительных датчиках продукции используются нестандартные технические решения собственной разработки. Среди уникальных изделий компании - цифровая лаборатория «Наураша в стране Наурандии». Инвестиции в ее создание составили 5 млн руб. В коллективе предприятия сейчас 80 сотрудников, будет создано еще 20 рабочих мест. Компания готовит новый проект – первую в России цифровую STEАM-лабораторию для дошкольников. Она состоит из рабочих тетрадей и трех модулей – «Курс юного конструктора», «Азбука робототехники», цифровая лаборатория «Наураша в стране Наурандии», - пояснили в пресс-службе.</p></div>]","[<div class=""Text""><p>Председатель Мосгордумы Алексей Шапошников вручил благодарность московскому старшекласснику Богдану Рудику за спасение жизни пассажира самолета. Об этом сообщили в пресс-службе столичного парламента.</p><p>«А.Шапошников вручил благодарность ученику профильного медицинского класса столичной школы №1573 Б.Рудику за гражданское мужество и проявленную отвагу при спасении жизни человека. Подросток оперативно оказал первую медицинскую помощь пассажиру самолета, которому стало плохо на борту во время полета», - говорится в сообщении.</p><p>Для вручения благодарности старшеклассник был приглашен в столичный парламент вместе со своими одноклассниками и педагогом практической медицины Еленой Лысько.</p><p>«Первая эмоция, когда узнал об этом - восторг! Восторг, что московский школьник, учащийся школы спас жизнь человеку, да еще и в необычном месте - на борту самолета. Богдан показал яркий пример, что подвиг можно совершить всегда и везде. И действительно от лица города, от лица депутатов Московской городской думы еще раз хочу сказать огромное спасибо за спасение жизни человека! Сказать спасибо Богдану, образовательному комплексу, тем преподавателям, которые делятся такими знаниями. И, как мы видим, эти знания пригождаются в жизни самым непосредственным образом», - подчеркнул А.Шапошников.</p></div>]","[<div class=""Text""><p>Нижняя палата парламента в ходе заседания поручила комитетам Госдумы по жилищной политике и жилищно-коммунальному хозяйству, а также по экономической политике, промышленности, инновационному развитию и предпринимательству запросить в российском правительстве информацию о причинах завышения тарифов на услуги ЖКХ в регионах страны. </p><p>«Предлагается поручить комитету Госдумы по жилищной политике и жилищно-коммунальному хозяйству и комитету Госдумы по экономической политике, промышленности, инновационному развитию и предпринимательству запросить в правительстве России и ФАС России информацию о размерах и причинах завышения тарифов за коммунальные услуги (в разрезе каждого региона РФ и каждой коммунальной услуги), а также о мерах, предпринимаемых правительством России и ФАС России в связи с необоснованным завышением тарифов в регионах», - говорится в тексте поручения.</p><p>В документе уточняется, что, по информации ряда СМИ, глава Федеральной антимонопольной службы Игорь Артемьев заявил, что, по данным возглавляемого им ведомства, граждане переплачивают более 100% от себестоимости коммунальных услуг во многих регионах РФ.</p></div>]","[<div class=""Text""><p>Российская столица занимает второе место среди регионов страны по продолжительности жизни горожан, сообщили в пресс-службе столичного департамента здравоохранения.</p><p>«Москва занимает второе место среди регионов России по продолжительности жизни горожан. По этому показателю столица опережает даже Дагестан и других традиционных лидеров долголетия - республики Кавказа, уступая лишь Ингушетии. Сегодня средняя продолжительность жизни москвичей - 78 лет. Это рекордный прирост по стране: с 2010 г. он увеличился на 3,8 года. По прогнозам, в ближайшие 20 лет столица может стать одним из мировых лидеров по продолжительности жизни и уже сейчас входит в первую тридцатку», - говорится в сообщении.</p><p>В пресс-службе пояснили, что на продолжительность жизни влияют многие факторы, но крайне важно то, как организована медицинская помощь, насколько она доступна, как развита профилактика болезней, диагностика и лечение, насколько профессиональны врачи.</p><p>«За последние годы в медицине произошли значимые позитивные изменения. Внедрены самые передовые методики лечения, которые ранее были недоступны для москвичей либо применялись очень ограниченно. По многим из них количество операций выросло в несколько раз. Например, эндопротезирование крупных суставов - в 23 раза, малоинвазивные операции по поводу катаракты - в 12 раз, стентирование коронарных артерий - в пять раз. Потребность в этих операциях чаще всего возникает в пожилом возрасте. И сегодня уже не редкость операции по установке кардиостимулятора пациентам старше 80 лет», - подчеркнули в департаменте.</p><p>В Депздраве отметили, что рост продолжительности жизни, изменение структуры населения столицы ставят перед здравоохранением новые задачи и вызовы.</p><p>«Будет продолжено создание онкологической службы. Будет продолжено развитие патронажной и паллиативной служб. В течение нескольких лет будет капитально отремонтировано 135 зданий поликлиник, построены десятки новых поликлиник и больничных корпусов. Будут внедрены новые программы диспансеризации, максимально учитывающие индивидуальные особенности каждого человека. Для повышения профессионального уровня врачей и медицинского персонала будут расширены возможности обучения, в том числе с помощью дистанционных технологий», - подчеркнули в пресс-службе.</p></div>]"
